index,state,year,name,type,city,enroll,mmr,lat,lng
461,Pennsylvania,2017,Woodland Elementary,,Emporium,53,100,41.5137511,-78.2486825
462,Pennsylvania,2017,Worcester Elementary,,Lansdale,66,100,40.202575,-75.34725
463,Pennsylvania,2017,Worrall Elementary,,Broomall,40,100,39.9766766,-75.3803994
464,Pennsylvania,2017,Wrightstown Elementary,,Wrightstown,34,100,40.2664199,-74.9926826
465,Pennsylvania,2017,Wrightsville Elementary,,Wrightsville,59,100,40.0240613,-76.533286
466,Pennsylvania,2017,Wylandville Elementary,,Eighty Four,39,100,40.2076949,-80.1268945
467,Pennsylvania,2017,Youngsville El/Ms,,Youngsville,61,100,41.8501556,-79.3274559
468,Pennsylvania,2017,Ziegler William H,,Philadelphia,60,100,40.0300308,-75.0750073
469,Pennsylvania,2017,Solis-Cohen Solomon,,Philadelphia,212,99.5,40.0447756,-75.0646281
470,Pennsylvania,2017,Springfield Township Elementary School-Enfield,,Oreland,197,99.5,40.105757,-75.188784
471,Pennsylvania,2017,Brookwood Elementary,,Levittown,171,99.4,40.1382008,-74.8331249
472,Pennsylvania,2017,George Blaisdell Elementary,,Bradford,170,99.4,41.973955,-78.643914
473,Pennsylvania,2017,Lowell James R,,Philadelphia,157,99.4,40.040391,-75.129128
474,Pennsylvania,2017,Susquenita Elementary,,Duncannon,154,99.4,40.3545776,-76.9973467
475,Pennsylvania,2017,Wyoming Area Kindergarten Ctr,,Exeter,157,99.4,41.3216087,-75.8126188
476,Pennsylvania,2017,Brownsville Area Elementary,,Brownsville,136,99.3,40.0070195,-79.8936409
